#router1, port on router1, router2, port on router 2, failure start, failure end
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319774272.0,1319775007.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319788733.0,1319788759.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319792694.0,1319794810.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319879434.0,1319879570.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1321881771.0,1321881795.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1321883360.0,1321883385.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1321884120.0,1321884138.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1322953544.0,1322975080.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1326875385.0,1326879377.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1332227268.0,1332227288.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1333641604.0,1333641744.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1333696807.0,1333708464.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1333708489.0,1333708524.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1333708540.0,1333708584.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1333708610.0,1333708685.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1335953767.0,1335954048.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1335956399.0,1335963378.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1336503426.0,1336503563.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1343886102.0,1343886242.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1344441173.0,1344441313.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1345146762.0,1345146767.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1346189451.0,1346189578.0
